,strain,pHMM,hsp_len
0,Acidaminococcus-intestini-D21-MAF-2,cysK,283
1,Acidaminococcus-intestini-D21-MAF-2,cysKcustom,320
2,Acidaminococcus-intestini-D21-MAF-2,cysM,194
3,Acidaminococcus-intestini-D21-MAF-2,cysMcustom,199
4,Acidaminococcus-intestini-D21-MAF-2,lcd,174
5,Acidaminococcus-intestini-D21-MAF-2,lcdcustom,327
6,Acidaminococcus-intestini-D21-MAF-2,malY,384
7,Acidaminococcus-intestini-D21-MAF-2,malYcustom,389
8,Acidaminococcus-intestini-D21-MAF-2,metC,369
9,Acidaminococcus-intestini-D21-MAF-2,metCcustom,376
10,Akkermansia_muciniphila,cysK,302
11,Akkermansia_muciniphila,cysKcustom,323
12,Akkermansia_muciniphila,cysM,302
13,Akkermansia_muciniphila,cysMcustom,305
14,Akkermansia_muciniphila,lcd,346
15,Akkermansia_muciniphila,lcdcustom,347
16,Akkermansia_muciniphila,malY,384
17,Akkermansia_muciniphila,malYcustom,397
18,Akkermansia_muciniphila,metC,215
19,Akkermansia_muciniphila,metCcustom,223
20,Akkermansia_muciniphila,tnaA,473
21,Alistipes-ihumii-AP11-MAF-2,cysK,329
22,Alistipes-ihumii-AP11-MAF-2,cysKcustom,362
23,Alistipes-ihumii-AP11-MAF-2,cysM,301
24,Alistipes-ihumii-AP11-MAF-2,cysMcustom,317
25,Alistipes-ihumii-AP11-MAF-2,lcd,370
26,Alistipes-ihumii-AP11-MAF-2,lcdcustom,102
27,Alistipes-ihumii-AP11-MAF-2,malY,382
28,Alistipes-ihumii-AP11-MAF-2,malYcustom,389
29,Alistipes-ihumii-AP11-MAF-2,metC,213
30,Alistipes-ihumii-AP11-MAF-2,metCcustom,217
31,Alistipes-indistinctus-YIT-12060-MAF-2,cysK,332
32,Alistipes-indistinctus-YIT-12060-MAF-2,cysKcustom,366
33,Alistipes-indistinctus-YIT-12060-MAF-2,cysM,301
34,Alistipes-indistinctus-YIT-12060-MAF-2,cysMcustom,305
35,Alistipes-indistinctus-YIT-12060-MAF-2,lcd,376
36,Alistipes-indistinctus-YIT-12060-MAF-2,lcdcustom,374
37,Alistipes-indistinctus-YIT-12060-MAF-2,malY,381
38,Alistipes-indistinctus-YIT-12060-MAF-2,malYcustom,392
39,Alistipes-indistinctus-YIT-12060-MAF-2,metC,214
40,Alistipes-indistinctus-YIT-12060-MAF-2,metCcustom,221
41,Alistipes-indistinctus-YIT-12060-MAF-2,tnaA,471
42,Alistipes-onderdonkii-DSM-19147-MAF-2,cysK,322
43,Alistipes-onderdonkii-DSM-19147-MAF-2,cysKcustom,357
44,Alistipes-onderdonkii-DSM-19147-MAF-2,cysM,291
45,Alistipes-onderdonkii-DSM-19147-MAF-2,cysMcustom,296
46,Alistipes-onderdonkii-DSM-19147-MAF-2,lcd,345
47,Alistipes-onderdonkii-DSM-19147-MAF-2,lcdcustom,212
48,Alistipes-onderdonkii-DSM-19147-MAF-2,malY,380
49,Alistipes-onderdonkii-DSM-19147-MAF-2,malYcustom,385
50,Alistipes-onderdonkii-DSM-19147-MAF-2,metC,214
51,Alistipes-onderdonkii-DSM-19147-MAF-2,metCcustom,220
52,Alistipes-onderdonkii-DSM-19147-MAF-2,tnaA,454
53,Alistipes-putredinis-DSM-17216-MAF-2,cysK,327
54,Alistipes-putredinis-DSM-17216-MAF-2,cysKcustom,361
55,Alistipes-putredinis-DSM-17216-MAF-2,cysM,122
56,Alistipes-putredinis-DSM-17216-MAF-2,cysMcustom,228
57,Alistipes-putredinis-DSM-17216-MAF-2,lcd,376
58,Alistipes-putredinis-DSM-17216-MAF-2,lcdcustom,205
59,Alistipes-putredinis-DSM-17216-MAF-2,malY,363
60,Alistipes-putredinis-DSM-17216-MAF-2,malYcustom,382
61,Alistipes-putredinis-DSM-17216-MAF-2,metC,213
62,Alistipes-putredinis-DSM-17216-MAF-2,metCcustom,222
63,Alistipes-putredinis-DSM-17216-MAF-2,tnaA,454
64,Alistipes-senegalensis-JC50-MAF-2,cysK,300
65,Alistipes-senegalensis-JC50-MAF-2,cysKcustom,373
