,strain,pHMM,hsp_score
0,Acidaminococcus-intestini-D21-MAF-2,cysK,74.1
1,Acidaminococcus-intestini-D21-MAF-2,cysKcustom,109.7
2,Acidaminococcus-intestini-D21-MAF-2,cysM,49.4
3,Acidaminococcus-intestini-D21-MAF-2,cysMcustom,79.2
4,Acidaminococcus-intestini-D21-MAF-2,lcd,44.1
5,Acidaminococcus-intestini-D21-MAF-2,lcdcustom,49.0
6,Acidaminococcus-intestini-D21-MAF-2,malY,446.3
7,Acidaminococcus-intestini-D21-MAF-2,malYcustom,546.2
8,Acidaminococcus-intestini-D21-MAF-2,metC,222.2
9,Acidaminococcus-intestini-D21-MAF-2,metCcustom,493.1
10,Akkermansia_muciniphila,cysK,451.8
11,Akkermansia_muciniphila,cysKcustom,540.4
12,Akkermansia_muciniphila,cysM,300.4
13,Akkermansia_muciniphila,cysMcustom,367.1
14,Akkermansia_muciniphila,lcd,74.4
15,Akkermansia_muciniphila,lcdcustom,70.6
16,Akkermansia_muciniphila,malY,462.6
17,Akkermansia_muciniphila,malYcustom,598.1
18,Akkermansia_muciniphila,metC,119.5
19,Akkermansia_muciniphila,metCcustom,245.6
20,Akkermansia_muciniphila,tnaA,598.9
21,Alistipes-ihumii-AP11-MAF-2,cysK,443.2
22,Alistipes-ihumii-AP11-MAF-2,cysKcustom,536.3
23,Alistipes-ihumii-AP11-MAF-2,cysM,305.2
24,Alistipes-ihumii-AP11-MAF-2,cysMcustom,364.2
25,Alistipes-ihumii-AP11-MAF-2,lcd,40.0
26,Alistipes-ihumii-AP11-MAF-2,lcdcustom,25.5
27,Alistipes-ihumii-AP11-MAF-2,malY,479.8
28,Alistipes-ihumii-AP11-MAF-2,malYcustom,589.3
29,Alistipes-ihumii-AP11-MAF-2,metC,85.1
30,Alistipes-ihumii-AP11-MAF-2,metCcustom,191.0
31,Alistipes-indistinctus-YIT-12060-MAF-2,cysK,451.7
32,Alistipes-indistinctus-YIT-12060-MAF-2,cysKcustom,538.1
33,Alistipes-indistinctus-YIT-12060-MAF-2,cysM,295.3
34,Alistipes-indistinctus-YIT-12060-MAF-2,cysMcustom,362.5
35,Alistipes-indistinctus-YIT-12060-MAF-2,lcd,59.8
36,Alistipes-indistinctus-YIT-12060-MAF-2,lcdcustom,59.8
37,Alistipes-indistinctus-YIT-12060-MAF-2,malY,485.3
38,Alistipes-indistinctus-YIT-12060-MAF-2,malYcustom,564.9
39,Alistipes-indistinctus-YIT-12060-MAF-2,metC,116.0
40,Alistipes-indistinctus-YIT-12060-MAF-2,metCcustom,235.5
41,Alistipes-indistinctus-YIT-12060-MAF-2,tnaA,602.5
42,Alistipes-onderdonkii-DSM-19147-MAF-2,cysK,311.3
43,Alistipes-onderdonkii-DSM-19147-MAF-2,cysKcustom,393.4
44,Alistipes-onderdonkii-DSM-19147-MAF-2,cysM,348.0
45,Alistipes-onderdonkii-DSM-19147-MAF-2,cysMcustom,431.2
46,Alistipes-onderdonkii-DSM-19147-MAF-2,lcd,44.6
47,Alistipes-onderdonkii-DSM-19147-MAF-2,lcdcustom,29.8
48,Alistipes-onderdonkii-DSM-19147-MAF-2,malY,473.8
49,Alistipes-onderdonkii-DSM-19147-MAF-2,malYcustom,604.0
50,Alistipes-onderdonkii-DSM-19147-MAF-2,metC,80.1
51,Alistipes-onderdonkii-DSM-19147-MAF-2,metCcustom,185.0
52,Alistipes-onderdonkii-DSM-19147-MAF-2,tnaA,847.1
53,Alistipes-putredinis-DSM-17216-MAF-2,cysK,35.9
54,Alistipes-putredinis-DSM-17216-MAF-2,cysKcustom,76.0
55,Alistipes-putredinis-DSM-17216-MAF-2,cysM,23.0
56,Alistipes-putredinis-DSM-17216-MAF-2,cysMcustom,33.4
57,Alistipes-putredinis-DSM-17216-MAF-2,lcd,42.7
58,Alistipes-putredinis-DSM-17216-MAF-2,lcdcustom,26.8
59,Alistipes-putredinis-DSM-17216-MAF-2,malY,295.1
