,strain,pHMM,hit_score
0,Acidaminococcus-intestini-D21-MAF-2,cysK,74.6
1,Acidaminococcus-intestini-D21-MAF-2,cysKcustom,109.9
2,Acidaminococcus-intestini-D21-MAF-2,cysM,50.1
3,Acidaminococcus-intestini-D21-MAF-2,cysMcustom,79.3
4,Acidaminococcus-intestini-D21-MAF-2,lcd,45.2
5,Acidaminococcus-intestini-D21-MAF-2,lcdcustom,49.9
6,Acidaminococcus-intestini-D21-MAF-2,malY,446.4
7,Acidaminococcus-intestini-D21-MAF-2,malYcustom,546.3
8,Acidaminococcus-intestini-D21-MAF-2,metC,222.4
9,Acidaminococcus-intestini-D21-MAF-2,metCcustom,493.2
10,Akkermansia_muciniphila,cysK,452.0
11,Akkermansia_muciniphila,cysKcustom,540.5
12,Akkermansia_muciniphila,cysM,300.6
13,Akkermansia_muciniphila,cysMcustom,367.3
14,Akkermansia_muciniphila,lcd,76.3
15,Akkermansia_muciniphila,lcdcustom,72.3
16,Akkermansia_muciniphila,malY,462.8
17,Akkermansia_muciniphila,malYcustom,598.4
18,Akkermansia_muciniphila,metC,217.5
19,Akkermansia_muciniphila,metCcustom,408.9
20,Akkermansia_muciniphila,tnaA,599.2
21,Alistipes-ihumii-AP11-MAF-2,cysK,443.5
22,Alistipes-ihumii-AP11-MAF-2,cysKcustom,536.6
23,Alistipes-ihumii-AP11-MAF-2,cysM,305.5
24,Alistipes-ihumii-AP11-MAF-2,cysMcustom,364.6
25,Alistipes-ihumii-AP11-MAF-2,lcd,44.1
26,Alistipes-ihumii-AP11-MAF-2,lcdcustom,50.7
27,Alistipes-ihumii-AP11-MAF-2,malY,480.0
28,Alistipes-ihumii-AP11-MAF-2,malYcustom,589.4
29,Alistipes-ihumii-AP11-MAF-2,metC,154.5
30,Alistipes-ihumii-AP11-MAF-2,metCcustom,336.0
31,Alistipes-indistinctus-YIT-12060-MAF-2,cysK,451.9
32,Alistipes-indistinctus-YIT-12060-MAF-2,cysKcustom,538.4
33,Alistipes-indistinctus-YIT-12060-MAF-2,cysM,295.5
34,Alistipes-indistinctus-YIT-12060-MAF-2,cysMcustom,362.8
35,Alistipes-indistinctus-YIT-12060-MAF-2,lcd,61.1
36,Alistipes-indistinctus-YIT-12060-MAF-2,lcdcustom,63.7
37,Alistipes-indistinctus-YIT-12060-MAF-2,malY,485.5
38,Alistipes-indistinctus-YIT-12060-MAF-2,malYcustom,565.1
39,Alistipes-indistinctus-YIT-12060-MAF-2,metC,180.3
40,Alistipes-indistinctus-YIT-12060-MAF-2,metCcustom,364.5
41,Alistipes-indistinctus-YIT-12060-MAF-2,tnaA,602.8
42,Alistipes-onderdonkii-DSM-19147-MAF-2,cysK,311.6
43,Alistipes-onderdonkii-DSM-19147-MAF-2,cysKcustom,393.6
